ID beacon'a;Moc rozgłaszania;RSSI;Dystans;Czas;ID urządzenia;Poziom baterii;;;;;;;Dystans;Przed odsianiem;Po odsianiu
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:48:13;GT-I9515 - 1a88bbcf523c933c;38;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-75;0,3;03-12-2015 14:48:29;GT-I9515 - 1a88bbcf523c933c;38;;;;;;;0,3;-75;
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:48:44;GT-I9515 - 1a88bbcf523c933c;38;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:48:44;GT-I9515 - 1a88bbcf523c933c;38;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:48:45;GT-I9515 - 1a88bbcf523c933c;38;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:48:59;GT-I9515 - 1a88bbcf523c933c;38;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:49:16;GT-I9515 - 1a88bbcf523c933c;38;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-75;0,3;03-12-2015 14:49:17;GT-I9515 - 1a88bbcf523c933c;38;;;;;;;0,3;-75;
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:49:32;GT-I9515 - 1a88bbcf523c933c;38;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:49:33;GT-I9515 - 1a88bbcf523c933c;38;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:49:33;GT-I9515 - 1a88bbcf523c933c;38;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:49:49;GT-I9515 - 1a88bbcf523c933c;38;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:50:03;GT-I9515 - 1a88bbcf523c933c;38;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:50:05;GT-I9515 - 1a88bbcf523c933c;38;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:50:20;GT-I9515 - 1a88bbcf523c933c;38;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:50:21;GT-I9515 - 1a88bbcf523c933c;38;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:50:36;GT-I9515 - 1a88bbcf523c933c;38;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:50:36;GT-I9515 - 1a88bbcf523c933c;38;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:50:37;GT-I9515 - 1a88bbcf523c933c;38;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-72;0,3;03-12-2015 14:50:51;GT-I9515 - 1a88bbcf523c933c;37;;;;;;;0,3;-72;
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:51:08;GT-I9515 - 1a88bbcf523c933c;37;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:51:09;GT-I9515 - 1a88bbcf523c933c;37;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:51:23;GT-I9515 - 1a88bbcf523c933c;37;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:51:25;GT-I9515 - 1a88bbcf523c933c;37;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:51:41;GT-I9515 - 1a88bbcf523c933c;37;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:51:55;GT-I9515 - 1a88bbcf523c933c;37;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:52:12;GT-I9515 - 1a88bbcf523c933c;36;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:52:12;GT-I9515 - 1a88bbcf523c933c;36;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:52:28;GT-I9515 - 1a88bbcf523c933c;36;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:52:29;GT-I9515 - 1a88bbcf523c933c;36;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:52:45;GT-I9515 - 1a88bbcf523c933c;36;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:52:59;GT-I9515 - 1a88bbcf523c933c;36;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:53:16;GT-I9515 - 1a88bbcf523c933c;36;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-75;0,3;03-12-2015 14:53:33;GT-I9515 - 1a88bbcf523c933c;36;;;;;;;0,3;-75;
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:53:48;GT-I9515 - 1a88bbcf523c933c;36;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:54:04;GT-I9515 - 1a88bbcf523c933c;36;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:54:05;GT-I9515 - 1a88bbcf523c933c;36;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:54:19;GT-I9515 - 1a88bbcf523c933c;36;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-75;0,3;03-12-2015 14:54:21;GT-I9515 - 1a88bbcf523c933c;36;;;;;;;0,3;-75;
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:54:37;GT-I9515 - 1a88bbcf523c933c;36;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:54:51;GT-I9515 - 1a88bbcf523c933c;35;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:54:52;GT-I9515 - 1a88bbcf523c933c;35;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:55:08;GT-I9515 - 1a88bbcf523c933c;35;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:55:24;GT-I9515 - 1a88bbcf523c933c;35;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:55:24;GT-I9515 - 1a88bbcf523c933c;35;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:55:41;GT-I9515 - 1a88bbcf523c933c;35;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:55:41;GT-I9515 - 1a88bbcf523c933c;35;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:55:41;GT-I9515 - 1a88bbcf523c933c;35;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:55:56;GT-I9515 - 1a88bbcf523c933c;35;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:55:56;GT-I9515 - 1a88bbcf523c933c;35;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:55:56;GT-I9515 - 1a88bbcf523c933c;35;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:55:57;GT-I9515 - 1a88bbcf523c933c;35;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:56:12;GT-I9515 - 1a88bbcf523c933c;35;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:56:13;GT-I9515 - 1a88bbcf523c933c;35;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:56:29;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:56:44;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:57:00;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:57:00;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:57:01;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:57:01;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:57:15;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:57:16;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:57:17;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:57:17;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:57:32;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:57:32;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-78;0,3;03-12-2015 14:57:48;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-78;
F4:1C:50:21:23:FD;-20;-75;0,3;03-12-2015 14:58:04;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-75;
F4:1C:50:21:23:FD;-20;-75;0,3;03-12-2015 14:58:05;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-75;
F4:1C:50:21:23:FD;-20;-75;0,3;03-12-2015 14:58:05;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-75;
F4:1C:50:21:23:FD;-20;-73;0,3;03-12-2015 14:58:20;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-73;
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:58:36;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:58:36;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:58:37;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:58:53;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:58:54;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:59:08;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:59:09;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-74;-74
F4:1C:50:21:23:FD;-20;-74;0,3;03-12-2015 14:59:24;GT-I9515 - 1a88bbcf523c933c;34;;;;;;;0,3;-74;-74
